"","Season","Name","Team","Position","Started","Games","FantasyPoints","Minutes","FieldGoalsMade","FieldGoalsAttempted","FieldGoalsPercentage","EffectiveFieldGoalsPercentage","TwoPointersMade","TwoPointersAttempted","TwoPointersPercentage","ThreePointersMade","ThreePointersAttempted","ThreePointersPercentage","FreeThrowsMade","FreeThrowsAttempted","FreeThrowsPercentage","OffensiveRebounds","DefensiveRebounds","Rebounds","OffensiveReboundsPercentage","DefensiveReboundsPercentage","TotalReboundsPercentage","Assists","Steals","BlockedShots","Turnovers","PersonalFouls","Points","TrueShootingAttempts","TrueShootingPercentage","PlayerEfficiencyRating","AssistsPercentage","StealsPercentage","BlocksPercentage","TurnOversPercentage","UsageRatePercentage","PlusMinus","DoubleDoubles","TripleDoubles","PPG","RPG","APG"
"1",2009,"Richard Jefferson","MIL","SF",0,82,1637.5,2048,374.3,851.7,30.6,33.9,293.4,648.2,31.6,80.9,203.5,27.7,290.6,361,56.1,39.7,220.9,260.7,1.1,6.5,3.6,138.7,46,6.8,115,175.6,1120.1,1010.6,38.6,11.3,5.7,0.6,0.2,5,17.3,0,1,0,13.7,3.2,1.7
"2",2009,"Mike Miller","MIN","SG",0,73,1232,1642,184,382,33.6,38.9,124.8,225.1,38.6,59.2,156.8,26.3,76,103.9,51,50.9,285.8,336.7,1.7,14.8,5.8,227.2,20.9,21.6,101.1,96.9,503.2,427.7,41,6.8,15,0.3,0.5,13.3,10.2,0,3.4,0,6.9,4.6,3.1
"3",2009,"Francisco Garcia","SAC","SF",0,65,1040.3,1377,205.6,463.5,30.9,35.5,144.3,309.5,32.5,61.3,154,27.7,101.8,124.1,57.2,39,112.9,151.9,1.6,4.7,3.1,104.6,55.8,46.7,78.1,136.6,574.3,518.1,38.6,10.2,6.1,1,1.2,6.4,13.6,0,0,0,8.8,2.3,1.6
"4",2009,"Udonis Haslem","MIA","PF",0,75,1196.8,1784,232.1,448.2,36.1,36.1,232.1,448.2,36.1,0,0,0,89.2,118.5,52.5,117.8,313,430.7,3.8,14.7,10.1,59.2,30,17.4,57.2,142.2,553.4,500.3,38.5,6.3,2.6,0.4,0.4,5,10.3,0,13.9,0,7.4,5.7,0.8
"5",2009,"Ronny Turiaf","GS","PF",0,79,1035,1181,129.6,255.1,35.4,35.4,129.6,253,35.7,0,1.5,0,68.3,86.4,55.1,61.3,189.6,250.9,2.7,12.2,5.6,115.7,23.7,117.1,48.8,169.4,327.6,293.1,39,11,6.8,0.5,3.3,6.9,6,0,1,0,4.1,3.2,1.5
"6",2009,"Kenyon Martin","DEN","PF",0,66,1168.9,1471,221.6,451.7,34.2,35,211.9,425.2,34.7,6.8,26.5,25.6,82.9,137.3,42.1,56.5,218.9,275.3,2.2,11.7,5.3,92,66.9,51.6,72.5,140.1,536,512.1,36.5,10.1,4.9,1.1,1.3,6,12.4,0,2.4,0,8.1,4.2,1.4
"7",2009,"Roger Mason Jr.","SA","SG",0,82,1069,1740,243.3,572.9,29.6,36.7,127.6,298.3,29.8,115.7,274.6,29.3,73.2,82.2,62,11.2,163.8,174.9,0.4,5.4,2.9,120.6,27.9,5.8,69.7,111.5,675.4,609.1,38.6,5.7,5.4,0.4,0.2,5,13.2,0,0,0,8.2,2.1,1.5
"8",2009,"Greg Oden","POR","C",0,61,833.8,915,138,244.6,39.3,39.3,138,244.6,39.3,0,0,0,100.4,157.5,44.4,117.8,177.7,295.5,10.9,17,13.9,21.6,17.4,48.1,60.6,165.9,376.4,314,41.8,12.1,1.9,0.5,2,11.3,13.5,0,11.2,0,6.2,4.8,0.4
"9",2009,"Al Harrington","NY","PF",0,73,1552.2,1775,370.8,844.8,30.6,35.5,251.6,517.2,33.9,119.2,327.6,25.4,163.1,205.6,55.3,69,248.1,317.1,2.1,10.6,4.7,71.1,61.3,15.3,112.2,158.2,1023.9,935.2,38.1,11.9,3.2,0.8,0.3,5.2,17.6,0,4.9,0,14,4.3,1
"10",2009,"Ronnie Brewer","UTA","SF",0,81,1370,1815,293.4,577.1,35.4,36.4,278.1,517.9,37.4,15.3,59.2,18.1,172.2,245.3,48.9,70.4,138.7,209.1,2.2,4.4,3.3,124.8,96.2,20.9,76.7,89.2,774.4,685.1,39.4,11.9,5.3,1.3,0.4,4.9,13.2,0,0,0,9.6,2.6,1.5
"11",2009,"Ryan Gomes","MIN","PF",0,82,1259.4,1821,292.7,678.9,30,33.9,218.9,480.2,31.8,73.9,198.6,25.9,101.8,126.2,56.2,73.9,199.3,273.2,2.2,6.5,4.3,94.1,43.9,15.3,89.2,127.6,761.1,734.4,36.1,6.2,4.2,0.6,0.3,5.3,14.3,0,1,0,9.3,3.3,1.1
"12",2009,"Andris Biedrins","GS","C",0,62,1363.4,1299,214.7,371.5,40.3,40.3,214.7,370.8,40.4,0,0.5,0,82.9,150.6,38.4,155.4,327.6,483,6.3,19.1,14.1,84.3,43.9,66.9,76.7,164.5,512.3,437.7,40.8,14.3,4.9,0.8,1.7,10.4,11.8,0,19.5,0,8.3,7.8,1.4
